127.0.0.1 - - [16/Nov/2021:20:18:46 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:18:46 +0900] "GET /lefthand/index.jsp HTTP/1.1" 500 3195
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:19:23 +0900] "GET /lefthand/index.jsp HTTP/1.1" 500 3382
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:19:32 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:19:33 +0900] "GET /lefthand/css/reset.css HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:19:33 +0900] "GET /lefthand/css/teststyle.css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:19:54 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:19:54 +0900] "GET /lefthand/css/reset.css HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:19:54 +0900] "GET /lefthand/css/teststyle.css HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:19:54 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:00 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:00 +0900] "GET /lefthand/css/reset.css HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:00 +0900] "GET /lefthand/css/teststyle.css HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:14 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:14 +0900] "GET /lefthand/css/reset.css HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:14 +0900] "GET /lefthand/css/teststyle.css HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:26 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:26 +0900] "GET /lefthand/css/reset.css HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:26 +0900] "GET /lefthand/css/teststyle.css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [16/Nov/2021:20:20:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
