0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:05:17 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:05:17 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:05:17 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:05:17 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:06:51 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3272
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:06:51 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:06:51 +0900] "GET /css/reset.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:06:51 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:06:51 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:06:51 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:06:51 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:06:51 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:06:51 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:07:37 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:07:37 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:07:37 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:07:37 +0900] "GET /css/reset.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:07:37 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:07:37 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:07:37 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:07:37 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:07:37 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:08:45 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:08:45 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:08:45 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:08:45 +0900] "GET /css/reset.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:08:45 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:08:45 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:08:45 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:08:45 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:08:45 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /css/reset.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:54:32 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:57:16 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3140
