127.0.0.1 - - [13/Nov/2021:22:04:22 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:04:23 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:04:34 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:04:35 +0900] "GET /lefthand/* HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:21:53 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:21:53 +0900] "GET /css/teststyle.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:26:52 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:26:52 +0900] "GET /css/teststyle.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:26:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:28:54 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:28:54 +0900] "GET /css/teststyle.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:28:54 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:29:04 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:29:04 +0900] "GET /css/teststyle.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:29:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:29:12 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:29:12 +0900] "GET /css/teststyle.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:29:12 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:29:21 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:29:21 +0900] "GET /css/teststyle.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:29:21 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:30:06 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:30:06 +0900] "GET /css/teststyle.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:30:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:34:55 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [13/Nov/2021:22:34:55 +0900] "GET /css/teststyle.css HTTP/1.1" 404 1095
